,precision,recall,f1-score,support
0: Negative for Mutation,0.9908376963350786,0.9895424836601308,0.9901896664486594,765.0
1: Positive for Mutation,0.0,0.0,0.0,7.0
accuracy,0.9805699481865285,0.9805699481865285,0.9805699481865285,0.9805699481865285
macro avg,0.4954188481675393,0.4947712418300654,0.4950948332243297,772.0
weighted avg,0.9818534167050973,0.9805699481865285,0.9812112627373373,772.0
