,precision,recall,f1-score,support
0: Negative for Mutation,0.992336077206926,0.9952552666540141,0.993793528213389,21076.0
1: Positive for Mutation,0.0,0.0,0.0,162.0
accuracy,0.9876636218099633,0.9876636218099633,0.9876636218099633,0.9876636218099633
macro avg,0.496168038603463,0.49762763332700705,0.4968967641066945,21238.0
weighted avg,0.9847666994638464,0.9876636218099633,0.9862130332717481,21238.0
