,precision,recall,f1-score,support
0: Negative for Mutation,0.8490566037735849,0.7617896009673518,0.8030592734225622,827.0
1: Positive for Mutation,0.3111888111888112,0.4427860696517413,0.36550308008213556,201.0
accuracy,0.6994163424124513,0.6994163424124513,0.6994163424124513,0.6994163424124513
macro avg,0.5801227074811981,0.6022878353095465,0.5842811767523489,1028.0
weighted avg,0.743889846663138,0.6994163424124513,0.7175059710281793,1028.0
