,precision,recall,f1-score,support
0: Negative for Mutation,0.4442013129102845,0.9975429975429976,0.6146858440575321,407.0
1: Positive for Mutation,0.5,0.0019646365422396855,0.003913894324853229,509.0
accuracy,0.4443231441048035,0.4443231441048035,0.4443231441048035,0.4443231441048035
macro avg,0.4721006564551422,0.4997538170426186,0.3092998691911927,916.0
weighted avg,0.4752073519153775,0.4443231441048035,0.2752940073610981,916.0
