,precision,recall,f1-score,support
0: Negative for Mutation,0.9924195764438338,0.9938792939836781,0.9931488988455066,21076.0
1: Positive for Mutation,0.015267175572519083,0.012345679012345678,0.013651877133105802,162.0
accuracy,0.9863923156606084,0.9863923156606084,0.9863923156606084,0.9863923156606084
macro avg,0.5038433760081764,0.5031124864980119,0.5034003879893062,21238.0
weighted avg,0.984966017307326,0.9863923156606084,0.9856774553236397,21238.0
