,precision,recall,f1-score,support
0: Negative for Mutation,0.9906103286384976,0.8274509803921568,0.9017094017094016,765.0
1: Positive for Mutation,0.007518796992481203,0.14285714285714285,0.014285714285714285,7.0
accuracy,0.8212435233160622,0.8212435233160622,0.8212435233160622,0.8212435233160622
macro avg,0.4990645628154894,0.4851540616246498,0.4579975579975579,772.0
weighted avg,0.9816962862531063,0.8212435233160622,0.8936628138700677,772.0
