,precision,recall,f1-score,support
0: Negative for Mutation,0.9980490063159287,0.9920131470829909,0.9950219233178386,30425.0
1: Positive for Mutation,0.0,0.0,0.0,59.0
accuracy,0.9900931636268206,0.9900931636268206,0.9900931636268206,0.9900931636268206
macro avg,0.49902450315796437,0.49600657354149547,0.4975109616589193,30484.0
weighted avg,0.9961173408070506,0.9900931636268206,0.9930961165511494,30484.0
