,precision,recall,f1-score,support
0: Negative for Mutation,0.4443231441048035,1.0,0.6152683295540439,407.0
1: Positive for Mutation,0.0,0.0,0.0,509.0
accuracy,0.4443231441048035,0.4443231441048035,0.4443231441048035,0.4443231441048035
macro avg,0.22216157205240175,0.5,0.30763416477702193,916.0
weighted avg,0.197423056387178,0.4443231441048035,0.27337795865556314,916.0
