,precision,recall,f1-score,support
0: Negative for Mutation,0.9696699375557538,0.9593998234774934,0.9645075421472937,1133.0
1: Positive for Mutation,0.02127659574468085,0.02857142857142857,0.024390243902439022,35.0
accuracy,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.9315068493150684
macro avg,0.49547326665021735,0.493985626024461,0.4944488930248664,1168.0
weighted avg,0.9412506165254562,0.9315068493150684,0.9363362189978331,1168.0
