,precision,recall,f1-score,support
0: Negative for Mutation,0.8128898128898129,0.9455864570737605,0.874231414197876,827.0
1: Positive for Mutation,0.3181818181818182,0.1044776119402985,0.15730337078651685,201.0
accuracy,0.7811284046692607,0.7811284046692607,0.7811284046692607,0.7811284046692607
macro avg,0.5655358155358156,0.5250320345070295,0.5157673924921964,1028.0
weighted avg,0.7161618878544949,0.7811284046692607,0.7340538492896238,1028.0
