,precision,recall,f1-score,support
0: Negative for Mutation,0.9924325353386322,0.9893717973049915,0.99089980278946,21076.0
1: Positive for Mutation,0.013215859030837005,0.018518518518518517,0.015424164524421594,162.0
accuracy,0.9819662868443356,0.9819662868443356,0.9819662868443356,0.9819662868443356
macro avg,0.5028241971847346,0.503945157911755,0.5031619836569408,21238.0
weighted avg,0.9849632302457862,0.9819662868443356,0.9834590337246264,21238.0
