,precision,recall,f1-score,support
0: Negative for Mutation,0.9964377597466851,0.8640810022309936,0.9255514705882353,5827.0
1: Positive for Mutation,0.005025125628140704,0.18181818181818182,0.009779951100244499,22.0
accuracy,0.8615147888527953,0.8615147888527953,0.8615147888527953,0.8615147888527953
macro avg,0.5007314426874129,0.5229495920245877,0.4676657108442399,5849.0
weighted avg,0.9927087329129345,0.8615147888527953,0.9221069547002655,5849.0
